Experiment,TotalTime,NumTransactions,Throughput
total_simulation,1.73582,100000,57609.5
total_simulation,0.213916,10000,46747.3
total_simulation,0.217974,10000,45877.1
total_simulation,0.929,50000,53821.3
total_simulation,0.267282,10000,37413.6
total_simulation,0.927964,50000,53881.4
total_simulation,1.74233,100000,57394.5
total_simulation,0.230033,10000,43472.1
total_simulation,1.00569,50000,49717.2
total_simulation,1.97544,100000,50621.6
total_simulation,3.91501,200000,51085.4
total_simulation,9.96958,500000,50152.6
total_simulation,0.212803,10000,46991.8
total_simulation,1.04426,50000,47880.9
total_simulation,2.0712,100000,48281.3
total_simulation,4.29979,200000,46513.9
total_simulation,10.3443,500000,48335.8
total_simulation,0.187107,10000,53445.5
total_simulation,0.981375,50000,50948.9
total_simulation,1.83881,100000,54383
total_simulation,3.6648,200000,54573.2
total_simulation,9.11851,500000,54833.5
total_simulation,0.224623,10000,44519
total_simulation,1.09637,50000,45604.9
total_simulation,2.12361,100000,47089.5
total_simulation,4.1886,200000,47748.7
total_simulation,11.0193,500000,45375.1
total_simulation,0.221568,10000,45132.9
total_simulation,0.924056,50000,54109.3
total_simulation,1.90709,100000,52436
total_simulation,3.64602,200000,54854.4
total_simulation,9.14955,500000,54647.5
total_simulation,0.182441,10000,54812.1
total_simulation,0.866915,50000,57675.8
total_simulation,1.72189,100000,58075.6
total_simulation,3.58737,200000,55751.1
total_simulation,8.594,500000,58180.2
total_simulation,0.225969,10000,44253.9
total_simulation,0.983752,50000,50825.8
total_simulation,1.9579,100000,51075.2
total_simulation,3.88952,200000,51420.2
total_simulation,9.7036,500000,51527.3
total_simulation,0.212568,10000,47043.7
total_simulation,1.03903,50000,48122
total_simulation,2.07543,100000,48182.8
total_simulation,4.12564,200000,48477.4
total_simulation,10.2722,500000,48674.9
total_simulation,0.187965,10000,53201.5
total_simulation,0.913491,50000,54735.1
total_simulation,1.88672,100000,53002.1
total_simulation,3.71162,200000,53884.9
total_simulation,9.25116,500000,54047.3
total_simulation,0.216811,10000,46123.2
total_simulation,1.0618,50000,47090
total_simulation,2.10484,100000,47509.5
total_simulation,4.35,200000,45977
total_simulation,10.5918,500000,47206.2
total_simulation,0.187285,10000,53394.5
total_simulation,0.941267,50000,53119.9
total_simulation,1.83531,100000,54486.6
total_simulation,3.74444,200000,53412.5
total_simulation,9.15548,500000,54612.1
total_simulation,0.175977,10000,56825.5
total_simulation,0.86142,50000,58043.7
total_simulation,1.78919,100000,55891.1
total_simulation,3.43379,200000,58244.6
total_simulation,8.70864,500000,57414.2
total_simulation,1.95209,100000,51227.1
