ExperimentName,RunID,FinalCommitteeSize,MicroBlocksGenerated,MacroBlocksGenerated
total_simulation,0,1,4,1
total_simulation,1,1,4,1
total_simulation,2,1,4,1
total_simulation,3,1,4,1
total_simulation,4,1,4,1
total_simulation,5,1,4,1
total_simulation,6,1,4,1
total_simulation,7,1,4,1
total_simulation,8,1,4,1
total_simulation,9,1,4,1
total_simulation,10,1,4,1
total_simulation,11,1,8,1
total_simulation,12,1,8,1
total_simulation,13,1,8,1
total_simulation,14,1,8,1
total_simulation,15,1,8,1
total_simulation,16,1,4,1
total_simulation,17,1,4,1
total_simulation,18,1,4,1
total_simulation,19,1,4,1
total_simulation,20,1,4,1
total_simulation,21,1,8,1
total_simulation,1,1,4,1
total_simulation,2,1,4,1
total_simulation,3,1,4,1
total_simulation,4,1,4,1
total_simulation,5,1,4,1
total_simulation,6,1,4,1
total_simulation,7,1,4,1
total_simulation,8,1,4,1
total_simulation,9,1,4,1
total_simulation,10,1,4,1
total_simulation,11,1,8,1
total_simulation,12,1,8,1
total_simulation,13,1,8,1
total_simulation,14,1,8,1
total_simulation,15,1,8,1
total_simulation,16,1,4,1
total_simulation,17,1,4,1
total_simulation,18,1,4,1
total_simulation,19,1,4,1
total_simulation,20,1,4,1
total_simulation,21,1,8,1
total_simulation,22,1,8,1
total_simulation,23,1,8,1
total_simulation,24,1,8,1
total_simulation,25,1,8,1
total_simulation,26,1,16,1
total_simulation,27,1,16,1
total_simulation,28,1,16,1
total_simulation,29,1,16,1
total_simulation,30,1,16,1
