ExperimentName,RunID,NP,NumShards,NumTransactions,TotalTime,Throughput
total_simulation,0,8,4,100000,1.9692,50782
total_simulation,1,8,4,10000,0.210981,47397.7
total_simulation,2,8,4,50000,1.00656,49674
total_simulation,3,8,4,100000,2.04324,48941.8
total_simulation,4,8,4,200000,3.91369,51102.7
total_simulation,5,8,4,500000,9.76607,51197.7
total_simulation,6,16,4,10000,0.217997,45872.1
total_simulation,7,16,4,50000,1.04783,47717.6
total_simulation,8,16,4,100000,2.08094,48055.3
total_simulation,9,16,4,200000,4.14651,48233.3
total_simulation,10,16,4,500000,10.7094,46687.9
total_simulation,11,16,8,10000,0.19241,51972.5
total_simulation,12,16,8,50000,0.921192,54277.5
total_simulation,13,16,8,100000,1.81998,54945.7
total_simulation,14,16,8,200000,3.63275,55054.7
total_simulation,15,16,8,500000,9.15806,54596.7
total_simulation,16,32,4,10000,0.222014,45042.3
total_simulation,17,32,4,50000,1.05946,47193.8
total_simulation,18,32,4,100000,2.17981,45875.5
total_simulation,19,32,4,200000,4.21443,47456
total_simulation,20,32,4,500000,10.4779,47719.6
total_simulation,21,32,8,10000,0.205252,48720.5
total_simulation,1,8,4,10000,0.214507,46618.6
total_simulation,2,8,4,50000,0.997303,50135.2
total_simulation,3,8,4,100000,2.11548,47270.5
total_simulation,4,8,4,200000,3.92278,50984.2
total_simulation,5,8,4,500000,9.96786,50161.2
total_simulation,6,16,4,10000,0.216103,46274.3
total_simulation,7,16,4,50000,1.06012,47164.4
total_simulation,8,16,4,100000,2.08158,48040.5
total_simulation,9,16,4,200000,4.15101,48181.1
total_simulation,10,16,4,500000,10.6669,46873.9
total_simulation,11,16,8,10000,0.189161,52865.1
total_simulation,12,16,8,50000,0.927585,53903.4
total_simulation,13,16,8,100000,1.83733,54426.8
total_simulation,14,16,8,200000,3.7601,53190.1
total_simulation,15,16,8,500000,9.20443,54321.7
total_simulation,16,32,4,10000,0.228889,43689.4
total_simulation,17,32,4,50000,1.10333,45317.2
total_simulation,18,32,4,100000,2.18048,45861.5
total_simulation,19,32,4,200000,4.27311,46804.3
total_simulation,20,32,4,500000,10.5679,47312.9
total_simulation,21,32,8,10000,0.192397,51975.9
total_simulation,22,32,8,50000,0.937256,53347.2
total_simulation,23,32,8,100000,1.84321,54253.1
total_simulation,24,32,8,200000,3.68241,54312.3
total_simulation,25,32,8,500000,9.30368,53742.2
total_simulation,26,32,16,10000,0.177133,56454.7
total_simulation,27,32,16,50000,0.877493,56980.5
total_simulation,28,32,16,100000,1.72083,58111.6
total_simulation,29,32,16,200000,3.50317,57091.1
total_simulation,30,32,16,500000,8.64261,57852.9
